number of rooms,time (us)
1,21326
1,21463
1,21091
1,23375
1,20847
1,21493
1,21249
1,20740
1,21360
1,20855
1,20970
1,20896
1,20760
1,20876
1,20508
1,25029
1,21522
1,33858
1,21514
1,21185
1,20707
1,21226
1,21561
1,21252
1,21474
1,21144
1,21575
1,21464
1,23642
1,20867
1,20618
1,22042
1,20610
1,22766
1,21243
1,21216
1,21331
1,20943
1,20974
1,21688
1,20932
1,20837
1,20996
1,20698
1,20793
1,20672
1,21618
1,21834
1,21355
1,20600
1,21112
1,21285
1,20959
1,20844
1,20647
1,20568
1,20792
1,26002
1,21329
1,20572
1,21149
1,21213
1,21409
1,20557
1,20775
1,21057
1,21096
1,20484
1,20542
1,20666
1,20465
1,21513
1,21131
1,26994
1,20990
1,22868
1,20983
1,20493
1,20713
1,20974
1,20584
1,20531
1,21019
1,20741
1,20324
1,20831
1,20345
1,20872
1,20490
1,20823
1,20593
1,20468
1,20134
1,20637
1,20360
1,21209
1,20782
1,20999
1,21039
1,20756
1,20764
1,20154
1,20760
1,20680
1,20974
1,21183
1,21267
1,20546
1,21088
1,20120
1,20351
1,26370
1,20480
1,20408
1,20580
1,20798
1,21014
1,20835
1,20633
1,20706
1,20397
1,20516
1,20300
1,20551
1,20294
1,20505
1,20606
1,20815
1,20249
1,20535
1,20813
1,20409
1,20660
1,21053
1,23002
1,20539
1,21152
1,20331
1,20196
1,20233
1,21066
1,20195
1,20277
1,20665
1,20429
1,20683
1,20870
1,20600
1,20500
1,20791
1,20458
1,20460
1,20628
1,21094
1,20538
1,20760
1,21222
1,20680
1,20621
1,20384
1,20900
1,22040
1,20378
1,20094
1,20994
1,20152
1,20395
1,20383
1,20112
1,20588
1,20341
1,20551
1,20468
1,20333
1,20781
1,20909
1,20496
1,20047
1,20628
1,20194
1,20508
1,20660
1,20604
1,20582
1,20484
1,20680
1,20776
1,20522
1,21310
1,20694
1,20594
1,20909
1,26377
1,20257
1,20460
1,20594
1,20417
1,20730
1,20929
1,20128
1,20261
1,20340
1,20190
1,20398
1,20395
1,20590
1,24911
1,20584
1,21007
1,20460
1,20451
1,20873
1,20137
1,20604
1,20667
1,21022
1,20864
1,20800
1,20932
1,20710
1,21270
1,20832
1,37288
1,33586
1,38820
1,21212
1,21131
1,20932
1,20786
1,20820
1,21004
1,20872
1,22617
1,20405
1,21275
1,20921
1,21078
1,21050
1,20966
1,20605
1,21435
1,21231
1,21316
1,20588
1,20982
1,21182
1,20617
1,20756
1,22388
1,21047
1,20634
1,20661
1,20805
1,20603
1,20216
1,20792
1,20464
1,20040
1,20475
1,20561
1,20614
1,21064
1,27464
1,21445
1,21475
1,20947
1,20072
1,20132
1,20725
1,20354
1,20767
1,20699
1,20827
1,20931
1,20865
1,20934
1,20867
1,42217
1,20733
1,20512
1,20428
1,22802
1,20882
1,20635
1,20646
1,20499
1,20528
1,20568
1,21053
1,20975
1,20475
1,20537
1,20303
1,20293
1,20652
1,20328
1,20201
1,20654
1,20172
1,20322
1,21167
1,21936
1,20203
1,20753
1,21200
1,20815
1,20952
1,20215
1,20656
1,20275
1,20877
1,20277
1,20258
1,20152
1,21076
1,20638
1,20718
1,20857
1,20487
1,20631
1,20834
1,20871
1,20815
1,20903
1,20911
1,21222
1,20888
1,20120
1,22770
1,20873
1,20290
1,20735
1,20272
1,22254
1,20650
1,20764
1,20912
1,24108
1,21038
1,20568
1,21012
1,20346
1,20723
1,21963
1,21602
1,20604
1,20885
1,20359
1,21368
1,20678
1,20806
1,20326
1,20721
1,20432
1,22874
1,21039
1,21125
1,20230
1,20488
1,20621
1,20543
1,20732
1,20406
1,20931
1,20383
1,20495
1,20876
1,20553
1,21868
1,20425
1,20462
1,20867
1,20910
1,20636
1,21160
1,20380
1,20550
1,20823
1,21199
1,22691
1,20305
1,21332
1,24720
1,20970
1,20207
1,20753
1,20886
1,34516
1,20490
1,21115
1,20740
1,20389
1,20092
1,21401
1,23325
1,20303
1,20848
1,21197
1,20469
1,20299
1,20399
1,20315
1,21638
1,21202
1,20396
1,20547
1,21238
1,20433
1,20314
1,20473
1,20587
1,20802
1,21706
1,20619
1,21433
1,20751
1,20528
1,20774
1,20919
1,24877
1,20487
1,20588
1,21036
1,20764
1,20975
1,20225
1,20685
1,20569
1,23526
1,20650
1,23455
1,20284
1,20696
1,20204
1,25712
1,20356
1,20136
1,20177
1,20655
1,20318
1,20924
1,21926
1,20128
1,20435
1,23186
1,20570
1,20593
1,22436
1,20726
1,22143
1,20394
1,20656
1,20148
1,21250
1,20669
1,20497
1,20326
1,20136
1,20742
1,20794
1,20769
1,20016
1,23485
1,20971
1,20055
1,20724
1,20308
1,20158
1,20201
1,20652
1,20255
1,20436
1,20572
1,20700
1,20584
1,20408
1,20591
1,20920
1,20325
1,20909
1,20916
1,20287
1,20440
1,20268
1,21630
1,20828
1,19962
1,20224
1,20678
1,20508
1,20404
1,20613
1,20667
1,20570
1,20356
1,20220
1,28088
1,20473
1,20338
1,21071
1,20639
1,20782
1,20990
1,34841
1,31764
1,39048
1,38590
1,20530
1,20514
1,20359
1,20319
1,19969
1,20975
1,20935
1,20202
1,20068
1,20581
1,21973
1,21430
1,20308
1,20462
1,20288
1,20788
1,20610
1,20947
1,20773
1,20472
1,20856
1,21654
1,20565
1,20110
1,19888
1,20154
1,20676
1,20056
1,20645
1,20958
1,21207
1,20211
1,20316
1,20095
1,20326
1,20535
1,20834
1,20380
1,20162
1,20456
1,21710
1,20259
1,20082
1,20071
1,20340
1,20629
1,20470
1,20401
1,20707
1,20594
1,20442
1,20631
1,20505
1,20199
1,21397
1,20502
1,20370
1,20466
1,20414
1,20747
1,20807
1,20684
1,20081
1,20151
1,22405
1,21245
1,20470
1,20840
1,20789
1,20281
1,20335
1,20387
1,20796
1,20536
1,20207
1,20082
1,20159
1,20133
1,20435
1,20038
1,20532
1,20444
1,20082
1,20823
1,20631
1,20141
1,20348
1,20593
1,20289
1,20438
1,20203
1,20503
1,21243
1,20119
1,20082
1,20884
1,20721
1,21241
1,21199
1,20595
1,21424
1,20203
1,20229
1,20681
1,20244
1,20180
1,20812
1,20479
1,20636
1,20614
1,20094
1,20689
1,20236
1,20578
1,21525
1,21222
1,20953
1,20507
1,20158
1,21086
1,20507
1,21896
1,20594
1,20702
1,20370
1,20429
1,20695
1,20072
1,20269
1,20450
1,20016
1,20377
1,20158
1,20966
1,20257
1,20598
1,20279
1,20213
1,20345
1,20146
1,20379
1,20884
1,20241
1,20401
1,20697
1,20472
1,20439
1,20575
1,20523
1,20277
1,20176
1,20449
1,20371
1,20285
1,21473
1,20724
1,20992
1,20783
1,19918
1,20681
1,20246
1,20284
1,20486
1,20534
1,20576
1,20542
1,20889
1,20713
1,20916
1,20276
1,20341
1,20444
1,20689
1,20876
1,20668
1,20525
1,19942
1,20908
1,20716
1,22159
1,20807
1,20461
1,21331
1,20424
1,20342
1,20375
1,20960
1,20912
1,20603
1,20783
1,20824
1,20811
1,21005
1,22174
1,20483
1,20686
1,20335
1,20523
1,20718
1,20637
1,20248
1,20135
1,20300
1,20460
1,21008
1,20030
1,20964
1,20008
1,20146
1,20203
1,21032
1,21015
1,20231
1,20251
1,21151
1,20782
1,20641
1,20415
1,20269
1,20557
1,20386
1,20561
1,21136
1,20785
1,20615
1,20726
1,20272
1,20397
1,19991
1,20452
1,20647
1,23159
1,20463
1,20237
1,19881
1,20154
1,20018
1,21286
1,20511
1,20459
1,22448
1,20873
1,20722
1,20599
1,20017
1,20427
1,20011
1,20265
1,20304
1,20471
1,20334
1,20596
1,20170
1,22128
1,20302
1,20515
1,20363
1,20437
1,20552
1,20637
1,23098
1,20676
1,20597
1,20792
1,20393
1,20445
1,20744
1,20079
1,19978
1,21050
1,20741
1,20762
1,20139
1,20374
1,20429
1,20544
1,21044
1,20927
1,20584
1,20263
1,35103
1,30877
1,38668
1,38999
1,20567
1,20835
1,20403
1,20395
1,20334
1,20815
1,20498
1,20169
1,20350
1,20158
1,20456
1,21272
1,20796
1,20235
1,20031
1,20515
1,20739
1,20511
1,20687
1,20072
1,20401
1,20490
1,21274
1,21657
1,20472
1,20642
1,20563
1,20781
1,21933
1,20660
1,23499
1,21402
1,21031
1,20263
1,20340
1,20462
1,20876
1,20236
1,20289
1,20555
1,20386
1,20768
1,20226
1,20153
1,20769
1,20168
1,20282
1,20696
