number of rooms,time (us)
1,6634
1,8248
1,7684
1,6485
1,6614
1,7074
1,6793
1,7452
1,7033
1,6501
1,6402
1,6586
1,6486
1,6687
1,6663
1,6585
1,6526
1,6830
1,6402
1,6969
1,6743
1,6744
1,6272
1,6399
1,6391
1,6886
1,6364
1,7141
1,6429
1,6684
1,6554
1,6157
1,6768
1,9648
1,6589
1,6661
1,6417
1,7138
1,6836
1,6928
1,6328
1,6461
1,7513
1,7092
1,6989
1,6741
1,6128
1,6860
1,6299
1,5816
1,6359
1,6786
1,6454
1,6134
1,6272
1,6708
1,6563
1,6130
1,6265
1,7055
1,5784
1,7104
1,6463
1,6344
1,7007
1,6176
1,6244
1,6126
1,6306
1,6195
1,6205
1,6585
1,6313
1,6275
1,6825
1,5813
1,6024
1,6161
1,6756
1,6180
1,6044
1,6072
1,6333
1,6206
1,6300
1,6426
1,6578
1,6592
1,6620
1,6406
1,6103
1,6023
1,6548
1,6166
1,6707
1,6531
1,6895
1,7037
1,5919
1,5960
2,6190
2,6322
2,6450
2,6763
2,6381
2,6726
2,5960
2,6384
2,6403
2,6326
2,6388
2,6706
2,6730
2,6247
2,6707
2,6077
2,6118
2,6163
2,6271
2,6472
2,6699
2,6354
2,6547
2,6141
2,5905
2,7589
2,6313
2,7354
2,6190
2,5906
2,6352
2,6338
2,6208
2,6549
2,6347
2,5856
2,6143
2,6755
2,6614
2,6708
2,6487
2,6180
2,6781
2,6326
2,6569
2,6649
2,6372
2,6181
2,6392
2,6712
2,6320
2,7494
2,7250
2,6109
2,6432
2,5983
2,6354
2,6466
2,6371
2,6648
2,6581
2,6778
2,7078
2,6947
2,6154
2,7389
2,5989
2,5704
2,5941
2,6707
2,6506
2,6564
2,6245
2,6878
2,6584
2,6721
2,6165
2,6162
2,6163
2,7680
2,6289
2,6701
2,6198
2,6792
2,6168
2,7144
2,6377
2,6156
2,6102
2,6093
2,6679
2,6352
2,6256
2,6223
2,5981
2,6363
2,6510
2,6443
2,6502
2,6445
4,5901
4,6497
4,6031
4,6415
4,6399
4,6694
4,6447
4,6066
4,6925
4,6053
4,7341
4,6811
4,6037
4,6790
4,6177
4,6967
4,7167
4,6228
4,6191
4,6271
4,6561
4,6090
4,5967
4,5891
4,7830
4,6537
4,6065
4,6471
4,5980
4,6392
4,6347
4,6344
4,6658
4,6564
4,6174
4,6487
4,6380
4,5962
4,6093
4,5872
4,6440
4,6152
4,6088
4,6417
4,5889
4,6659
4,6516
4,5981
4,6598
4,7438
4,6085
4,6362
4,6581
4,6321
4,6518
4,6565
4,5918
4,6060
4,6358
4,7280
4,6950
4,6393
4,5977
4,6291
4,6767
4,6677
4,6173
4,6088
4,6163
4,5919
4,6268
4,6617
4,6514
4,6476
4,6507
4,6317
4,6302
4,6019
4,6046
4,6928
4,6457
4,6163
4,6032
4,6646
4,6399
4,6150
4,6474
4,6698
4,6353
4,6179
4,6420
4,7070
4,5954
4,6739
4,6064
4,6178
4,6353
4,6286
4,6217
4,6547
8,6207
8,7044
8,6232
8,6216
8,6020
8,6161
8,6165
8,6504
8,6215
8,5995
8,6067
